Country,Date,AP Adj,Cost,Cash Flow
CHINA,42005,-1.928568178,-1.560776807,
CHINA,42036,-1.304241827,-1.842700013,0.624326351
CHINA,42064,-1.178582547,-1.485769099,0.12565928
CHINA,42095,-1.821422828,-1.462226943,-0.642840281
CHINA,42125,-1.885067335,-1.324414006,-0.063644507
CHINA,42156,-1.669146901,-1.315259345,0.215920434
CHINA,42186,-1.66129872,0.583307436,0.007848181
CHINA,42217,-0.835995296,-0.062628378,0.825303424
CHINA,42248,-0.879983998,-0.935850771,-0.043988702
CHINA,42278,-1.034897196,-1.123638966,-0.154913199
CHINA,42309,-0.984576921,-1.025010665,0.050320275
CHINA,42339,-0.660157149,-0.176282873,0.324419772
CHINA,42370,-0.553559758,-0.218616174,0.106597391
CHINA,42401,-0.490685928,-0.216229463,0.06287383
CHINA,42430,-0.346275858,-0.412477596,0.14441007
CHINA,42461,-0.431361455,0.066175566,-0.085085597
CHINA,42491,-0.886594853,0.491884088,-0.455233398
CHINA,42522,-1.066961612,0.082120587,-0.180366759
CHINA,42552,-0.814405727,0.089426387,0.252555886
CHINA,42583,-0.58026832,0.881366151,0.234137406
CHINA,42614,-0.438552086,0.830259166,0.141716234
CHINA,42644,-0.401842395,0.48937412,0.036709691
CHINA,42675,-0.268720273,0.757828657,0.133122123
CHINA,42705,-0.159623483,3.386280722,0.109096789
CHINA,42736,-0.608051589,-0.960681527,-0.448428106
CHINA,42767,-1.026331366,-0.470699892,-0.418279777
CHINA,42795,-0.365196338,0.517319926,0.661135028
CHINA,42826,0.50941629,0.018799918,0.874612628
CHINA,42856,0.491655361,-0.584455233,-0.017760929
CHINA,42887,0.332722621,-1.854992133,-0.15893274
CHINA,42917,0.515044355,0.859213441,0.182321734
CHINA,42948,0.849214255,0.3829694,0.3341699
CHINA,42979,0.622104859,1.040502612,-0.227109395
CHINA,43009,0.705433454,-0.132974717,0.083328594
CHINA,43040,0.712090267,0.557333748,0.006656813
CHINA,43070,1.621337413,3.107539798,0.909247146
CHINA,43101,1.459078122,-0.621119178,-0.162259292
CHINA,43132,1.075454074,0.408236678,-0.383624047
CHINA,43160,0.804023666,-0.196575998,-0.271430408
CHINA,43191,0.91547491,-0.402785567,0.111451244
CHINA,43221,1.202965808,1.034664213,0.287490898
CHINA,43252,2.066541489,1.066251714,0.863575681
CHINA,43282,1.680711466,0.194329126,-0.385830023
CHINA,43313,0.623893767,0.588954383,-1.0568177
CHINA,43344,0.496951203,-0.625881394,-0.126942564
CHINA,43374,0.533257879,0.918634213,0.036306676
CHINA,43405,0.340227973,0.038330125,-0.193029906
CHINA,43435,0.759175907,1.09005159,0.418947933
CHINA,43466,0.804989757,-0.450001529,0.04581385
CHINA,43497,0.709510622,0.001635861,-0.095479134
CHINA,43525,0.654767791,-0.103558696,-0.054742832
CHINA,43556,1.176371349,0.060564085,0.521603558
CHINA,43586,0.969062702,-0.287727607,-0.207308646
CHINA,43617,1.163538512,0.49841906,0.194475809
CHINA,43647,0.487354066,-0.188438199,-0.676184446
Germany,42005,-1.876235481,-0.498982146,-2.363589547
Germany,42036,-1.476703808,-1.02061366,0.399531673
Germany,42064,-1.142505994,-0.510915709,0.334197814
Germany,42095,-0.929733661,-1.135954792,0.212772333
Germany,42125,-0.740267835,-0.543670593,0.189465826
Germany,42156,-0.853006561,-0.885799351,-0.112738726
Germany,42186,-0.758657756,-0.441810893,0.094348805
Germany,42217,-0.731474711,0.666212936,0.027183045
Germany,42248,-0.84574987,-0.464454703,-0.114275159
Germany,42278,-0.70333435,-0.76374247,0.14241552
Germany,42309,-0.500572469,-0.505548102,0.202761881
Germany,42339,-0.321093457,0.239176128,0.179479012
Germany,42370,-0.453604894,-1.048000938,-0.132511437
Germany,42401,-0.616064955,-0.688146594,-0.162460061
Germany,42430,-0.624822623,-0.58084439,-0.008757668
Germany,42461,-0.464277194,-0.603463236,0.16054543
Germany,42491,-0.752807492,-0.110542176,-0.288530298
Germany,42522,-0.821769696,-0.495811513,-0.068962204
Germany,42552,-0.59366849,-1.015595572,0.228101207
Germany,42583,-0.389311082,0.122486854,0.204357407
Germany,42614,-0.602922544,-0.908493093,-0.213611462
Germany,42644,-0.392194849,-0.187186608,0.210727695
Germany,42675,-0.533983977,-0.798045222,-0.141789128
Germany,42705,-0.66643632,-0.367588126,-0.132452343
Germany,42736,-0.871431938,-0.915932846,-0.204995618
Germany,42767,-0.536867744,-0.924221429,0.334564195
Germany,42795,-0.599282379,-0.866101483,-0.062414636
Germany,42826,-0.586612717,-0.889419365,0.012669663
Germany,42856,-0.686409949,-0.659136552,-0.099797233
Germany,42887,-0.733956641,0.231736376,-0.047546692
Germany,42917,-0.378556051,-0.342872169,0.35540059
Germany,42948,-0.471510248,-0.01781989,-0.092954196
Germany,42979,-0.487961899,0.123984791,-0.016451652
Germany,43009,-0.60590086,0.094525368,-0.117938961
Germany,43040,-0.031286738,0.308530601,0.574614122
Germany,43070,0.215133478,3.926247623,0.246420215
Germany,43101,0.019813901,-0.414534251,-0.195319577
Germany,43132,0.061864891,-0.670731369,0.042050989
Germany,43160,1.202961859,2.469193755,1.141096969
Germany,43191,1.807193682,1.509765254,0.604231823
Germany,43221,1.779963362,1.110465243,-0.02723032
Germany,43252,2.283547005,0.829452305,0.503583643
Germany,43282,1.779916087,-0.531922562,-0.503630918
Germany,43313,1.731577542,0.111291487,-0.048338546
Germany,43344,1.051363197,-0.129776471,-0.680214344
Germany,43374,0.927290323,0.413375402,-0.124072874
Germany,43405,1.123114618,2.15652442,0.195824295
Germany,43435,1.151444079,0.31021749,0.028329461
Germany,43466,1.625098843,1.642303967,0.473654764
Germany,43497,1.452557418,0.387582198,-0.172541426
Germany,43525,1.519924095,1.821157618,0.067366678
Germany,43556,1.329985521,1.017214954,-0.189938575
Germany,43586,0.947342792,0.173576965,-0.382642729
Germany,43617,1.111646573,-0.678000088,0.164303781
Germany,43647,0.659237967,0.95065663,-0.452408606
Ireland,42005,-1.9971818,-3.040318974,-2.656419768
Ireland,42036,-2.101966911,-1.348962901,-0.10478511
Ireland,42064,-1.912325147,-2.587100611,0.189641764
Ireland,42095,-1.881933696,1.125717803,0.03039145
Ireland,42125,-1.810510462,-1.270928118,0.071423234
Ireland,42156,-1.726407499,0.007821699,0.084102964
Ireland,42186,-1.357343124,-0.077336149,0.369064375
Ireland,42217,-1.205297202,-0.847052534,0.152045922
Ireland,42248,-1.030995251,-0.240528781,0.174301951
Ireland,42278,-0.649206811,0.808369266,0.38178844
Ireland,42309,-0.617862164,-0.302722715,0.031344647
Ireland,42339,0.246731375,2.457518515,0.864593539
Ireland,42370,-0.162256415,-1.423170365,-0.408987791
Ireland,42401,-0.669002263,-1.307712907,-0.506745848
Ireland,42430,-0.735992025,0.272650914,-0.066989762
Ireland,42461,-0.316807249,0.151771421,0.419184776
Ireland,42491,-0.337467228,-0.565531956,-0.020659979
Ireland,42522,-0.410929859,0.071929293,-0.073462631
Ireland,42552,-0.292223647,-0.530235569,0.118706212
Ireland,42583,-0.512633706,-0.850348281,-0.22041006
Ireland,42614,0.419592448,-0.0378935,0.932226154
Ireland,42644,0.022286856,0.625295838,-0.397305592
Ireland,42675,0.047269471,1.138369219,0.024982615
Ireland,42705,0.098032725,0.289767535,0.050763254
Ireland,42736,-0.490954028,-0.896063481,-0.588986753
Ireland,42767,-0.58673919,-1.373308903,-0.095785162
Ireland,42795,-0.69170164,-0.022265281,-0.104962449
Ireland,42826,-0.352629702,-0.371401829,0.339071937
Ireland,42856,-0.464486201,-0.11465251,-0.111856498
Ireland,42887,-0.073742147,0.347283636,0.390744053
Ireland,42917,-0.046808805,0.383324223,0.026933342
Ireland,42948,-0.365774947,0.014413193,-0.318966142
Ireland,42979,0.16491165,0.725550334,0.530686597
Ireland,43009,0.074490989,1.39735114,-0.090420661
Ireland,43040,0.883222781,2.257753724,0.808731792
Ireland,43070,0.752302353,1.968046935,-0.130920428
Ireland,43101,0.750577662,-0.031470065,-0.001724691
Ireland,43132,0.977571428,-0.354878524,0.226993766
Ireland,43160,1.086014153,0.299380403,0.108442725
Ireland,43191,1.177299341,0.665527258,0.091285188
Ireland,43221,0.806062564,0.683069137,-0.371236777
Ireland,43252,0.956113424,-0.407397847,0.150050859
Ireland,43282,0.436089327,0.36837846,-0.520024096
Ireland,43313,0.586871709,0.4689519,0.150782382
Ireland,43344,1.183617038,-0.063470705,0.596745329
Ireland,43374,0.924059421,1.292782323,-0.259557617
Ireland,43405,1.434485051,0.471928703,0.51042563
Ireland,43435,1.030307577,0.31277602,-0.404177474
Ireland,43466,0.784591181,-0.448228533,-0.245716396
Ireland,43497,1.080192925,-0.508827751,0.295601745
Ireland,43525,1.615645504,0.108859017,0.535452579
Ireland,43556,1.662906316,0.113005279,0.047260811
Ireland,43586,1.239731415,0.055489179,-0.423174901
Ireland,43617,1.087485987,-0.692964323,-0.152245428
Ireland,43647,1.272716446,0.831690743,0.18523046
Switzerland,42005,-3.210064309,-1.255365711,-4.482780755
Switzerland,42036,-2.559447853,-1.363167437,0.650616456
Switzerland,42064,-2.188126418,-1.639112208,0.371321435
Switzerland,42095,-2.010808666,-1.309884064,0.177317752
Switzerland,42125,-1.450645506,-1.186683916,0.56016316
Switzerland,42156,-1.209071836,-1.246214372,0.24157367
Switzerland,42186,-1.256456788,-0.49861923,-0.047384952
Switzerland,42217,-1.108404055,-0.750958503,0.148052733
Switzerland,42248,-1.156607829,-0.615251035,-0.048203774
Switzerland,42278,-1.157250704,-0.459663083,-0.000642875
Switzerland,42309,-0.440055676,-0.319605089,0.717195027
Switzerland,42339,0.673322179,0.340472408,1.113377855
Switzerland,42370,0.504143604,-0.465059887,-0.169178574
Switzerland,42401,-0.148815203,3.548280687,-0.652958807
Switzerland,42430,-0.484287777,0.121128423,-0.335472574
Switzerland,42461,-0.256328946,0.690870298,0.227958831
Switzerland,42491,-0.172746362,-3.616681243,0.083582584
Switzerland,42522,-0.278859569,0.203331779,-0.106113207
Switzerland,42552,-0.092617261,-0.233091219,0.186242307
Switzerland,42583,-0.557396668,-0.278707915,-0.464779407
Switzerland,42614,-0.439417216,-0.385667499,0.117979452
Switzerland,42644,-0.10042051,1.150179902,0.338996706
Switzerland,42675,0.194419041,-0.373894637,0.294839551
Switzerland,42705,0.312129687,1.608759188,0.117710645
Switzerland,42736,0.379805812,0.112208829,0.067676125
Switzerland,42767,-0.042848333,-0.604821964,-0.422654145
Switzerland,42795,-0.317174341,-0.251852566,-0.274326008
Switzerland,42826,-0.260664534,-0.064865321,0.056509807
Switzerland,42856,-0.170734538,-0.026426308,0.089929996
Switzerland,42887,-0.170618893,-0.340663189,0.000115645
Switzerland,42917,0.203066555,0.08175392,0.373685448
Switzerland,42948,0.115662636,0.055905163,-0.087403919
Switzerland,42979,0.163311602,-0.144921696,0.047648966
Switzerland,43009,0.416774848,0.960775197,0.253463246
Switzerland,43040,0.656081491,1.11527109,0.239306643
Switzerland,43070,1.419823791,1.758639429,0.7637423
Switzerland,43101,1.124813736,0.387816073,-0.295010055
Switzerland,43132,0.322954776,0.342644118,-0.80185896
Switzerland,43160,0.764901585,0.370058841,0.441946809
Switzerland,43191,0.975397207,0.331978436,0.210495622
Switzerland,43221,0.607412365,0.821062547,-0.367984842
Switzerland,43252,0.639410159,-0.284687031,0.031997794
Switzerland,43282,0.515829253,0.742813151,-0.123580906
Switzerland,43313,0.7193899,0.400981724,0.203560647
Switzerland,43344,0.74486466,-0.102059489,0.02547476
Switzerland,43374,1.052627607,1.040837348,0.307762947
Switzerland,43405,1.000825084,0.656386783,-0.051802523
Switzerland,43435,1.450795631,1.513470284,0.449970547
Switzerland,43466,1.339728098,0.014508534,-0.111067533
Switzerland,43497,0.784986911,0.157585352,-0.554741187
Switzerland,43525,0.972430811,0.035663928,0.1874439
Switzerland,43556,0.812133727,-0.10411505,-0.160297084
Switzerland,43586,0.86143115,-0.188415603,0.049297423
Switzerland,43617,0.932911952,-0.185714077,0.071480802
Switzerland,43647,0.578483932,-0.267214088,-0.35442802
USA,42005,-2.996940193,-0.432719378,-3.575424125
USA,42036,-2.34370677,-0.17124491,0.653233423
USA,42064,-1.970763161,-0.40895277,0.372943609
USA,42095,-1.752170939,-0.167591009,0.218592222
USA,42125,-1.260730668,-0.175209881,0.491440272
USA,42156,-1.589844909,-0.712008741,-0.329114242
USA,42186,-1.621786954,-0.310144226,-0.031942045
USA,42217,-1.420625338,0.76175809,0.201161616
USA,42248,-1.248071997,-0.133104125,0.172553341
USA,42278,-1.304809692,0.25600617,-0.056737695
USA,42309,-0.566410269,-0.390075055,0.738399423
USA,42339,0.222010082,0.72117518,0.788420351
USA,42370,0.781887728,-0.427556559,0.559877647
USA,42401,1.006157172,-0.002357606,0.224269444
USA,42430,0.385736557,0.30264332,-0.620420615
USA,42461,1.011270508,0.483458035,0.625533951
USA,42491,0.267585131,4.593776486,-0.743685377
USA,42522,0.536647088,1.755832776,0.269061957
USA,42552,0.564028175,-0.4545035,0.027381088
USA,42583,0.29305591,-4.4637845,-0.270972265
USA,42614,1.183497472,0.672857329,0.890441562
USA,42644,1.077555909,0.410078229,-0.105941563
USA,42675,1.115006393,0.70082569,0.037450485
USA,42705,1.941832383,0.531325533,0.82682599
USA,42736,1.239111231,-0.06262144,-0.702721152
USA,42767,0.660751925,-0.029383475,-0.578359306
USA,42795,0.282909794,0.109371913,-0.377842131
USA,42826,0.97083181,-0.653861647,0.687922016
USA,42856,0.746301521,0.262524693,-0.224530289
USA,42887,0.529300874,-0.1088783,-0.217000647
USA,42917,0.276737384,-0.147826515,-0.25256349
USA,42948,0.016111054,-0.09035766,-0.260626331
USA,42979,-0.119543861,-0.200127908,-0.135654915
USA,43009,0.086811646,-0.00550544,0.206355507
USA,43040,0.259598661,0.464543177,0.172787015
USA,43070,1.294405907,1.083537332,1.034807246
USA,43101,1.059780578,-0.118121157,-0.234625329
USA,43132,0.322969243,0.195357563,-0.736811335
USA,43160,0.570746151,-0.280675652,0.247776908
USA,43191,0.036284883,0.251623082,-0.534461269
USA,43221,-0.095986715,-0.436033772,-0.132271598
USA,43252,-0.384647293,-0.72277068,-0.288660578
USA,43282,0.063550891,0.377806551,0.448198184
USA,43313,-0.196319406,-0.381768465,-0.259870298
USA,43344,-0.262597136,-0.028793256,-0.066277729
USA,43374,-0.428740266,0.732555318,-0.166143131
USA,43405,0.294322986,0.328690134,0.723063252
USA,43435,0.835676778,0.325862655,0.541353793
USA,43466,0.86917201,-0.232319303,0.033495231
USA,43497,0.047052697,-0.507819736,-0.822119313
USA,43525,0.356491929,-0.793831519,0.309439232
USA,43556,-0.303540909,-0.266674078,-0.660032838
USA,43586,-0.415627681,-0.934587964,-0.112086772
USA,43617,-0.482517072,-0.476413154,-0.066889391
USA,43647,-0.439809229,-0.593985876,0.042707843
